"NAME" "SEASON" "GAME_NUM" "DATE" "TEAM" "OPP" "THREE_PT" "THREE_PT_ATTEMPT" "THREE_PT_PCT"
"Ray Allen" "05-06" 36 "2006-01-20" "SEA" "TOR" 4 10 0
"Ray Allen" "05-06" 37 "2006-01-22" "SEA" "PHO" 8 16 0
"Ray Allen" "05-06" 38 "2006-01-25" "SEA" "UTA" 5 6 0
"Ray Allen" "05-06" 39 "2006-01-26" "SEA" "DAL" 2 11 0
"Ray Allen" "05-06" 40 "2006-01-28" "SEA" "NJN" 4 8 0
"Ray Allen" "05-06" 41 "2006-01-30" "SEA" "POR" 4 7 0
"Ray Allen" "05-06" 42 "2006-02-01" "SEA" "GSW" 4 10 0
"Ray Allen" "05-06" 43 "2006-02-03" "SEA" "HOU" 2 9 0
"Ray Allen" "05-06" 44 "2006-02-04" "SEA" "DAL" 2 6 0
"Ray Allen" "05-06" 45 "2006-02-06" "SEA" "CHA" 3 8 0
"Ray Allen" "05-06" 46 "2006-02-08" "SEA" "NOK" 3 9 0
"Ray Allen" "05-06" 47 "2006-02-10" "SEA" "ATL" 4 10 0
"Ray Allen" "05-06" 48 "2006-02-12" "SEA" "DEN" 8 12 0
"Ray Allen" "05-06" 49 "2006-02-14" "SEA" "MIL" 3 5 0
"Ray Allen" "05-06" 50 "2006-02-15" "SEA" "MIN" 3 7 0
"Ray Allen" "05-06" 51 "2006-02-21" "SEA" "SAS" 2 3 0
"Ray Allen" "05-06" 52 "2006-02-22" "SEA" "ATL" 5 8 0
"Ray Allen" "05-06" 53 "2006-02-25" "SEA" "MIA" 2 7 0
"Ray Allen" "05-06" 54 "2006-02-28" "SEA" "NOK" 5 7 0
"Ray Allen" "05-06" 55 "2006-03-03" "SEA" "DET" 3 10 0
"Ray Allen" "05-06" 56 "2006-03-05" "SEA" "UTA" 3 6 0
"Ray Allen" "05-06" 57 "2006-03-08" "SEA" "MEM" 2 3 0
"Ray Allen" "05-06" 58 "2006-03-10" "SEA" "MIN" 4 9 0
"Ray Allen" "05-06" 59 "2006-03-12" "SEA" "LAL" 2 6 0
